2017-05-30 09:44:24.830 INFO  DefaultFactory Logging to 'C:\Work\CodeTests\4Test\src\GBG.TextProcessing.WebApp\App_Data\' with level Info
2017-05-30 09:44:24.997 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '29/05/2017'

2017-05-30 09:44:25.122 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'IDSCANBIOMETRIC\w.bitar' to group 'Performance Monitor Users' because the user is already in group.
2017-05-30 09:44:25.148 WARN  NServiceBus.StartableEndpoint All queues owned by the 'TextProcessing.ConsoleApp' endpoint will be purged on startup.
2017-05-30 09:44:25.200 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-05-30 09:44:25.218 WARN  NServiceBus.QueuePermissions Queue [private$\TextProcessing.ConsoleApp.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-05-30 09:44:25.231 WARN  NServiceBus.QueuePermissions Queue [private$\TextProcessing.ConsoleApp.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-05-30 09:44:25.246 WARN  NServiceBus.QueuePermissions Queue [private$\TextProcessing.ConsoleApp.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-05-30 09:44:25.260 WARN  NServiceBus.QueuePermissions Queue [private$\TextProcessing.ConsoleApp] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-05-30 09:44:25.268 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-05-30 09:44:25.270 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-05-30 09:44:25.271 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
